WL(um)	Flux(W/m2/um)
8.18E+00	0.718386384
8.22E+00	0.705870941
8.26E+00	0.692103955
8.30E+00	0.678336969
8.34E+00	0.665821526
8.38E+00	0.653306084
8.42E+00	0.642042186
8.46E+00	0.629526744
8.50E+00	0.618262846
8.54E+00	0.606998948
8.58E+00	0.59573505
8.62E+00	0.585722696
8.66E+00	0.574458798
8.70E+00	0.564446444
8.74E+00	0.554434091
8.78E+00	0.544421737
8.82E+00	0.534409383
8.86E+00	0.525648573
8.90E+00	0.51563622
8.94E+00	0.50687541
8.98E+00	0.498114601
9.02E+00	0.489353791
9.06E+00	0.481844526
9.10E+00	0.473083716
9.14E+00	0.464322907
9.18E+00	0.456813641
9.22E+00	0.449304376
9.26E+00	0.441795111
9.30E+00	0.434285845
9.34E+00	0.42677658
9.38E+00	0.419267315
9.42E+00	0.413009593
9.46E+00	0.405500328
9.50E+00	0.399242607
9.54E+00	0.392984886
9.58E+00	0.386727165
9.62E+00	0.380469444
9.66E+00	0.374211723
9.70E+00	0.367954001
9.74E+00	0.36169628
9.78E+00	0.356690103
9.82E+00	0.350432382
9.86E+00	0.345426205
