
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 1.6768E-06  F_CO2= 3.3000E-04  F_O2= 2.0714E-01  F_N2= 7.6937E-01  F_H2= 9.8637E-61  F_AR= 9.8637E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.000E-60

 NST=     1 JCONV=101 CHG=0.00E+00 dt0=1.00E+04 DIVF(1)=      NaN DIVFrms=      NaN DT(ND)=      NaN T(ND)=       NaN

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =    NaN

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 62 1.0469E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 63 1.1335E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 64 1.2258E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 65 1.3243E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 66 1.4290E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 67 1.5403E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 68 1.6584E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 69 1.7836E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 70 1.9161E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 71 2.0562E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 72 2.2040E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 73 2.3599E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 74 2.5239E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 75 2.6964E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 76 2.8774E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 77 3.0672E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 78 3.2658E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
 79 3.4734E-01        NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN
