"WL.um."	"FLUX.W.m2.um."
4.17	36.9882262275384
4.19	36.4635705363676
4.21	35.6765869996115
4.23	35.1519313084407
4.25	34.62727561727
4.27	33.8402920805138
4.29	32.0039971614162
4.31	28.5937351688063
4.33	29.118390859977
4.35	25.1047748225207
4.37	23.9505323019451
4.39	22.5077291512255
4.41	23.1635487651889
4.43	17.6808967924545
4.45	17.4972673005447
4.47	21.0649260005059
4.49	17.1037755321667
4.51	19.2023982968497
4.53	21.5371161225596
4.55	19.412260573318
4.57	18.3367164064180
4.59	16.9988443939325
4.61	17.5759656542204
4.63	17.6021984387789
4.65	17.4185689468691
4.67	19.0974671586156
4.69	17.8907590689228
4.71	18.1530869145082
4.73	18.5465786828863
4.75	15.7396707351227
4.77	18.4941131137692
4.79	17.9956902071570
4.81	15.9757657961496
4.83	18.1006213453911
4.85	15.6872051660056
4.87	15.3986445358617
4.89	14.7428249218983
4.91	13.5885824013226
4.93	15.4773428895373
4.95	14.3755659380787
4.97	15.5298084586544
4.99	13.6672807549982
5.01	13.6410479704397
5.03	13.3787201248543
5.05	13.1426250638275
5.07	12.8802972182421
5.09	12.6442021572152
5.11	12.4081070961884
5.13	12.1720120351616
5.15	11.9359169741347
5.17	11.7260546976664
5.19	11.4899596366396
5.21	11.3850284984054
5.23	11.3850284984054
5.25	11.3850284984054
5.27	11.3850284984054
5.29	11.3850284984054
5.31	11.3587957138469
5.33	11.3587957138469
5.35	11.3587957138469
5.37	11.3587957138469
5.39	11.3587957138469
5.41	11.2538645756127
5.43	11.0964678682615
5.45	10.9128383763517
5.47	10.7554416690005
5.49	10.5980449616493
5.51	10.4144154697395
5.53	10.2832515469468
5.55	10.1520876241542
5.57	10.0209237013615
5.59	9.9159925631273
5.61	9.78482864033462
5.63	9.65366471754193
5.65	9.54873357930778
5.67	9.4175696565151
5.69	9.31263851828094
5.71	9.18147459548825
5.73	9.0765434572541
5.75	8.97161231901995
5.77	8.84044839622726
5.79	8.73551725799311
5.81	8.63058611975896
5.83	8.5256549815248
5.85	8.42072384329065
5.87	8.34202548961504
5.89	8.23709435138089
5.91	8.13216321314674
5.93	8.02723207491258
5.95	7.94853372123697
5.97	7.84360258300282
5.99	7.7649042293272
6.01	7.65997309109305
6.03	7.58127473741744
6.05	7.47634359918329
6.07	7.39764524550768
6.09	7.31894689183206
6.11	7.21401575359791
6.13	7.1353173999223
6.15	7.05661904624668
6.17	6.97792069257107
6.19	6.89922233889546
6.21	6.82052398521984
6.23	6.74182563154423
6.25	6.66312727786862
6.27	6.584428924193
6.29	6.50573057051739
6.31	6.42703221684178
6.33	6.3745666477247
6.35	6.29586829404909
6.37	6.21716994037347
6.39	6.13847158669786
6.42	6.05977323302224
6.46	5.92860931022956
6.5	5.79744538743687
6.54	5.66628146464418
6.58	5.53511754185149
6.62	5.4039536190588
6.66	5.29902248082465
6.7	5.1940913425905
6.74	5.06292741979781
6.78	4.95799628156365
6.82	4.8530651433295
6.86	4.74813400509535
6.9	4.66943565141974
6.94	4.56450451318559
6.98	4.45957337495144
7.02	4.38087502127582
7.06	4.27594388304167
7.1	4.19724552936606
7.14	4.11854717569044
7.18	4.03984882201483
7.22	3.96115046833922
7.26	3.8824521146636
7.3	3.80375376098799
7.34	3.72505540731238
7.38	3.64635705363676
7.42	3.56765869996115
7.46	3.51519313084407
7.5	3.43649477716846
7.54	3.38402920805138
7.58	3.30533085437577
7.62	3.25286528525869
7.66	3.17416693158308
7.7	3.12170136246601
7.74	3.06923579334893
7.78	3.01677022423185
7.82	2.96430465511478
7.86	2.88560630143916
7.9	2.83314073232209
7.94	2.78067516320501
