 (nm)        32SO2           33SO2            34SO2            Error 32SO2      Error 33SO2      Error 34SO2
188.7588    4.4295216E-18    3.0353607E-18    4.4347046E-18    2.4344022E-18    9.1317186E-19    1.8470874E-18
188.7863    4.4312844E-18    3.0564567E-18    4.0091207E-18    2.1994422E-18    7.7603288E-19    1.4364356E-18
188.8138    4.5264854E-18    3.3335798E-18    3.5876505E-18    1.7116346E-18    6.8395803E-19    9.2516895E-19
188.8413    4.6938702E-18    3.8369098E-18    3.2460337E-18    1.3639582E-18    6.0551553E-19    5.1542425E-19
188.8688    4.7998208E-18    4.3872256E-18    3.0017311E-18    1.3474374E-18    5.6455524E-19    4.5691960E-19
188.8963    4.8028942E-18    4.7799567E-18    2.8498216E-18    1.5575583E-18    6.4065641E-19    6.0150371E-19
188.9239    4.7894373E-18    4.9554926E-18    2.8240963E-18    1.7880717E-18    6.7664542E-19    6.7512137E-19
188.9514    4.8370565E-18    5.0117372E-18    2.9866015E-18    1.7066423E-18    5.6719464E-19    5.5044160E-19
188.9790    4.9176094E-18    5.1116495E-18    3.3419711E-18    1.1963362E-18    5.0253177E-19    2.4317271E-19
189.0065    4.9620959E-18    5.3311804E-18    3.8220316E-18    8.6975477E-19    6.1604627E-19    2.2163584E-19
189.0341    4.9716359E-18    5.6264473E-18    4.3597064E-18    1.2224600E-18    7.2789334E-19    4.7427954E-19
189.0616    5.0069651E-18    5.9106210E-18    4.9142719E-18    1.4855052E-18    7.5985944E-19    6.0564187E-19
189.0892    5.0712039E-18    6.0651055E-18    5.4452067E-18    1.4516918E-18    7.4400331E-19    6.7656417E-19
189.1168    5.0791682E-18    5.9645599E-18    5.8871632E-18    1.2051378E-18    6.5777984E-19    8.2885433E-19
189.1444    4.9641806E-18    5.6274641E-18    6.1628329E-18    8.2112499E-19    4.7475210E-19    1.0885562E-18
189.1720    4.7720894E-18    5.2251076E-18    6.2519270E-18    4.1237249E-19    2.8723437E-19    1.2699598E-18
189.1996    4.6222342E-18    4.9525709E-18    6.1940769E-18    5.2250758E-19    3.0756313E-19    1.2283725E-18
189.2272    4.5435797E-18    4.9120115E-18    6.0331905E-18    9.1158409E-19    5.4532047E-19    1.0824768E-18
189.2549    4.4180997E-18    5.0522134E-18    5.8227383E-18    1.0241598E-18    7.5125453E-19    1.0098764E-18
189.2825    4.1441337E-18    5.1757498E-18    5.6312631E-18    8.0553088E-19    8.1087162E-19    9.0242260E-19
189.3102    3.7897896E-18    5.0992243E-18    5.4898325E-18    8.1008926E-19    7.4126615E-19    8.3644766E-19
189.3378    3.5368911E-18    4.8599208E-18    5.3891481E-18    1.1292386E-18    6.1707693E-19    9.7272841E-19
